GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION,VIDEO_AVAILABLE_FLAG,SECONDS_REMAINING
0042300315,657,5,11,4,10:57 PM,0:05,,,Mavericks Turnover: Shot Clock (T#13),,,3.0,1610612742,,,,,,0,0,,,,,,1,0,,,,,,0,5
0042300315,658,2,79,4,10:57 PM,0:01,MISS Moore Jr. 28' 3PT Pullup Jump Shot,,,,,4.0,1631111,Wendell Moore Jr.,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,,1,1
0042300315,659,4,0,4,10:57 PM,0:00,Miller REBOUND (Off:1 Def:1),,,,,4.0,1631159,Leonard Miller,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,,1,0
0042300315,660,13,0,4,10:58 PM,0:00,,End of 4th Period (10:58 PM EST),,124 - 103,-21,0.0,0,,,,,,0,0,,,,,,0,0,,,,,,1,0
0042300314,595,2,79,4,10:52 PM,4:49,MISS Doncic 28' 3PT Pullup Jump Shot,,,,,4.0,1629029,Luka Dončić,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1,289
0042300314,596,4,0,4,10:52 PM,4:46,,,Gobert REBOUND (Off:0 Def:9),,,5.0,203497,Rudy Gobert,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,,1,286
0042300314,597,9,1,4,10:52 PM,4:46,,,Timberwolves Timeout: Regular (Reg.5 Short 0),,,3.0,1610612750,,,,,,0,0,,,,,,0,0,,,,,,0,286
0042300314,598,8,0,4,10:52 PM,4:46,,,SUB: Towns FOR Alexander-Walker,,,5.0,1629638,Nickeil Alexander-Walker,1610612750.0,Minnesota,Timberwolves,MIN,5,1626157,Karl-Anthony Towns,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,286
0042300314,600,6,2,4,10:54 PM,4:23,Doncic S.FOUL (P4.T4) (E.Malloy),,,,,4.0,1629029,Luka Dončić,1610612742.0,Dallas,Mavericks,DAL,5,203497,Rudy Gobert,1610612750.0,Minnesota,Timberwolves,MIN,1,0,,,,,,1,263
0042300314,602,3,11,4,10:55 PM,4:23,,,MISS Gobert Free Throw 1 of 2,,,5.0,203497,Rudy Gobert,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,,1,263
0042300314,603,4,1,4,10:55 PM,4:23,,,Timberwolves Rebound,,,3.0,1610612750,,,,,,0,0,,,,,,0,0,,,,,,0,263
0042300314,604,3,12,4,10:55 PM,4:23,,,MISS Gobert Free Throw 2 of 2,,,5.0,203497,Rudy Gobert,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,,1,263
0042300314,605,4,0,4,10:55 PM,4:20,Jones Jr. REBOUND (Off:2 Def:2),,,,,4.0,1627884,Derrick Jones Jr.,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1,260
0042300314,606,2,6,4,10:56 PM,4:06,MISS Washington 1' Driving Layup,,,,,4.0,1629023,P.J. Washington,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1,246
0042300314,607,4,0,4,10:56 PM,4:03,MAVERICKS Rebound,,,,,2.0,1610612742,,,,,,0,0,,,,,,0,0,,,,,,0,243
0042300314,609,1,51,4,10:56 PM,3:54,Gafford Reverse Dunk (12 PTS) (Irving 4 AST),,,95 - 92,-3,4.0,1629655,Daniel Gafford,1610612742.0,Dallas,Mavericks,DAL,4,202681,Kyrie Irving,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,1,234
0042300314,611,2,6,4,10:57 PM,3:29,,,MISS Edwards 5' Driving Layup,,,5.0,1630162,Anthony Edwards,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,,1,209
0042300314,612,4,0,4,10:57 PM,3:27,Jones Jr. REBOUND (Off:2 Def:3),,,,,4.0,1627884,Derrick Jones Jr.,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1,207
0042300314,613,2,80,4,10:57 PM,3:18,MISS Doncic 25' 3PT Step Back Jump Shot,,,,,4.0,1629029,Luka Dončić,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1,198
